GeniusName,Title,Lyrics,GeniusName.1,GeniusName,Artist
9Jared,Africa,"1 ContributorAfrica Lyrics[Intro]
We, other people
Will get to the promised land
Africa

[Refrain]
Africa
Comment te soigner du mal que t'as
Tu n'es qu'amour et trahison
Libère-toi pour toutes les passions
Terre-mère, tous frères
Africa
Comment te soigner du mal que t'as
Dispersée parmi les nations (well)
Dispensée de libre expression
Terre-mère

[Couplet 1]
La première des nations est un ghetto, pourquoi?
Le continent mère est un bon filon pour toi
Terre de toute ambassade
Celle que préfèrent les colons, well
Tout l'temps vénèr quand j'repars de là-bas
C'est comme un goût amer qui me reste planté là
À cinq dans l'même plat, c'est crade
Si t'as des manières à la con, well
Big Red black and green en pleine action
Original raggamuffin révolution
Pour moi seul l'Armageddon
Trouvera la bête en nous, well
You might also like[Refrain]
Africa
Comment te soigner du mal que t'as
Tu n'es qu'amour et trahison
Libère-toi pour toutes les passions
Terre-mère, tous frères
Africa
Comment te soigner du mal que t'as
Dispersée parmi les nations (well)
Dispensée de libre expression
Terre-mère

[Couplet 2]
Afrique de l'Est, du Nord, du Sud
Tes enfants mènent la vie rude
Afrique du Nord, du Sud, de l'Ouest
Ça tire comme au Far West
Tous ces nazes sortent de ton ventre, mais tous te rejettent
Ça fait longtemps qu'tu remontes la pente, redressant la tête
Le poing levé, tu déchantes et tu croules sous les dettes
Des affamés tu enfantes, tes chefs d'État font les vedettes
Pour moi seul l'Armageddon
Peut à lui seul sauver ton nom (Terre-mère)

[Refrain]
Africa
Comment te soigner du mal que t'as
Tu n'es qu'amour et trahison
Libère-toi pour toutes les passions
Terre-mère, tous frères
Africa
Comment te soigner du mal que t'as
Dispersée parmi les nations (well)
Dispensée de libre expression
Terre-mère
[Couplet 3]
Pays riches, excusez-vous pour XXX
Comment pouvez-vous à ce point ignorer
Que pas loin d'chez vous, la famine a frappé
Et qu'à cause de vous, tout est déréglé
Je ne parle pas d'esclavage ni de ce qu'ont fait les colons
(yeah you know)
Mais plutôt de ravages qui aujourd'hui font
Que l'homme de tout âge agonise
C'est c'qui me met la rage, j'viens t'en parler

[Refrain]
Africa
Comment te soigner du mal que t'as
Tu n'es qu'amour et trahison
Libère-toi pour toutes les passions
Terre-mère, tous frères
Africa
Comment te soigner du mal que t'as
Tu n'es qu'amour et trahison
Libère-toi pour toutes les passions
Terre-mère, tous frères
Africa
Comment te soigner du mal que t'as
Dispersée parmi les nations (well)
Dispensée de libre expression
Terre-mère
AfricaEmbed",Big Red,Big Red,Big Red
9Jared,Arrête de...,"1 ContributorArrête de... Lyrics[Intro]
Ah, tous les massives sur la ce-pla
Original Big Red prend le mic centa
Wi-wi-wicked
Selecta

[Couplet 1: Big Red]
Arrête de
Jouer la carte de l'honnêteté
Prendre les gens pour des tes-bê
Arrête de
Tout l'temps cavaler en ville
Cette course contre la montre te rend débile
Arrête de
Tout l'temps faire des promesses que jamais tu n'tiendras
Mets-toi à confesse, tu l'as fait combien de fois?
Arrête de
Tomber dans leurs sales combines
Plein les oreilles, plein les yeux, s'il te plaît arrête de
Parler de la France d'en bas
Parce que la France d'en haut a besoin des gens d'en bas
Arrête de
Tromper les gens impunément
Pourquoi tu respires comme tu mens?
Arrête de
Tout l'temps avoir l'air sympathique
T'es qu'un trou du cul antipathique
Arrête de
Tout l'temps faire genre, j'hallucine
Plein les oreilles, plein les yeux, s'il te plaît arrête de
You might also like[Refrain]
Écoute ce style (arrête de)
Ça vient du ghetto style (arrête de)
C'est pour les rude boys style (arrête de)
Et puis les sound bwoys die (die, die)
Woy écoute ce style (arrête de)
Ça vient du ghetto style (arrête de)
C'est pour les rude boys style (arrête de)

[Couplet 2: Kanyor]
Arrête de
Montre-toi tel que tu es
Garde le bon, gère le mauvais
Montre-toi comme tu te connais
Qui sait mieux que toi
Où ça te mène de faire ça
Ne t'imagine surtout pas
Que cela te sauvera
Sais-tu où tu vas

[Couplet 3: Big Red]
Arrête de
Bouger tes fesses sous mon nez
D'agir comme un serpent, de m'empoisonner
Arrête de
Vouloir détourner le mec que tu n'as pas, quitte à tout niquer
Arrête de
Croire que t'es trop bonne, ça laisse croire que t'es trop conne
Arrête de faire la tasse-pé
Arrête de
Tomber dans leurs sales combines
Plein les oreilles, plein les yeux, s'il te plaît arrête de
[Refrain]
Écoute ce style (arrête de)
Ça vient du ghetto style (arrête de)
C'est pour les rude boys style (arrête de)
Et puis les sound bwoys die (die, die)
Woy écoute ce style (arrête de)
Ça vient du ghetto style (arrête de)
C'est pour les rude boys style (arrête de)

[Couplet 4: Big Red]
Arrête de
Tout l'temps me dire d'arrêter
Laisse-moi vivre, laisse-moi penser
Arrête de
Me manipuler, de m'orienter
De me formater, de me programmer
Arrête de
Me taxer, me priver, me pomper, m'extorquer
M'empêcher de kiffer, m'emmerder
Arrête de
Me montrer toutes ces conneries, j'en ai
Plein les oreilles, plein les yeux, s'il te plaît arrête de

[Pont]
Écoute ce style, il vient du ghetto style
C'est pour les rude boys style et puis les sound bwoys die
'coute ce style, il vient du ghetto style
C'est pour les rude boys style et puis les sound bwoys
Si jamais t'apprécies lève tes mains vers le sky
Maximum de bruit si tu aimes ce style
Big Red Daddy in a murda style
Plein les oreilles, plein les yeux, s'il te plaît arrête de
[Outro]
Wi-wicked
Wi-wicked
Wi-wickedEmbed",Big Red,Big Red,Big Red
9Jared,Aux Armes etc...,"3 ContributorsAux Armes etc... Lyrics[Couplet 1]
Allons enfants de la té-ci le jour de gloire vous est acquis
Ouvre les yeux pour voir que ce que je dis
N'est que vérité et reality
S'il faut encore attendre, on attendra
Mais c'est tout ce qu'il y aura à prendre, on le prendra
Et puis tout ce qu'il y aura à vendre, on l'achètera
Une fois crevé, de nos cendres renaîtront des Che Guevara
Planifie calcule ce que demain sera
Une fois finis, prends du recul et puis organises-toi
Cesse de coincer la bulle, faut faire du chiffre mon gars
Y'a que les bouffons qui fabulent la stratégie il n'y a que ça

[Refrain] x4
Aux armes etc

[Couplet 2]
Entendez-vous dans les campagnes
Rugir ces féroces forçats
Essayant de gravir la montagne
Évitant tous les pièges de l’État
Place au passe-muraille, c'est passe-moi la maille
Et autrement il faut me parler
Je te file un conseil, c'est le jour de la paye
Faut pas avoir les bras croisées
Tu cours après l'oseille de Paris à Marseille
Mets du bénef de côté à la Samouraï dans la bataille
On vient pour encaisser mais c'est respect or die
Tant qu'il n'y a pas de maille c'est la rre-gue
Mais c'est faites attention, s'il faut devenir patron, je le deviendrai
Ensemble crions mort aux cons
Mes pensées précèdent mes actions
Rébellion, révolution, angel dust est le nom de ma mission
You might also like[Refrain] x4
Aux armes etc

[Couplet 3]
Je suis le bras vengeur de ma liberté chérie
Je ferai de ta demeure ma nouvelle colonie
Pour l'instant tu ne pleures pas mais ça viendra j'te le dis
Bientôt l'heure où tu bosseras pour moi espèce d'abruti
Les jeunes de la Ddass, leur dernier mot n'ont pas dit
Plus que perspicace sont les mômes de quatre ans et demi
Ils représentent une menace pour ta society
Mets des soldats en famas dans tous les quartiers de la nuit
Voitures en flammes, commissariats brûlés
D'un côté les gendarmes, de l'autre les gens armés
Inutile de tirer l'alarme elle est cassée
Qui a raison ou tort, question déplacée
Je suis pas là pour divertir mais plutôt pour t'avertir
Le monde doit nous revenir, soundboy tu devras courirEmbed",Big Red,Big Red,Big Red
9Jared,Bad Slave,"1 ContributorBad Slave Lyrics[Intro: Michael Rose]
When I read, I learn
Big Red and Michael Rose

[Chorus: Michael Rose]
From the day that I was born
They tried to keep calm
I'm a mad slave
From the day I know myself
And 'til today
I'm a mad slave

[Verse 1: Big Red & Michael Rose]
C'est l'esprit libre
Que l'on avance
Avance
Même les pieds et mains liés
Well well, well now
Every day we suffer along the way
Michael Rose, tell dem
But you know we got to put a end to the struggle
Right this minute
J'essaye de m'еnvoler
Dès que je fеrme les yeux, Lord
Pas facile tu sais
Quand on vois à quel point t'es haineux
I ran to the Valley
And I crossed the River
To free my head
And all my XXX
You might also like[Chorus: Michael Rose]
From the day that I was born
They tried to keep calm
I'm a mad slave
From the day I know myself
And 'til today
I'm a mad slave

[Verse 2: Big Red]
Tu peux tenir en échec
Tout un peuple
Mais, contenir sa destinée
Oh oui, Lord
Mettre à sec
Les gens propres
Mais, moi je reste un mauvais
I'm a bad slave

[Chorus: Michael Rose & Big Red]
From the day that I was born
They tried to keep calm
I'm a mad slave
I'm a bad slave, mad slave, bad slave
From the day I know myself
And 'til today
I'm a mad slave
Original, mauvais esclave, Michael Rose, special
[Verse 3: Big Red & Michael Rose]
Can't catch me now
Je ne me rendrai jamais
And we XXX we just don't care
Can't wall me now
Je n'me laisserai pas faire
Il va y avoir des hommes à terre
Oh Lord

[Outro: Michael Rose]
From the day I know myself
And 'til today
I'm a mad slave, bad slave, mad slave
Bad slave
Mad slave
Bad slave
Mad slave
Bad slave
Mad slave
Bad slave
Mad slave
And we XXX we just don't careEmbed",Big Red,Big Red,Big Red
9Jared,Beef Jerky,"1 ContributorBeef Jerky LyricsSnap into a Slim Jim
Messing with Sasquatch

Bout to put you on fucking suicide watch
And I'm on terrorist watch
No I'm not a jihadist
My money straight cash homie no i didn't steal a wallet

I'm about to go contraband
You lookin like Taliban
I blow yo ass up like Afghanistan

M.O.A.B

This isn't futuristic
My boots on the ground
I looked for your name but you're no where to be found

You look like a jihadist
I could tell because you're not silent
In London they go boom but all you're doing is crying

I know that was too soon, excuse my foul language
But these rappers are in line and the shooting range is open
So stop the commotion
I'm trying to focus
R3 on this bitch and I watch his brains explodin
You might also likeBitch

No I'm not done
The fun keeps going
I can't stop flowing
Hoover damn broke and ur girls pussy is unloading
(Beat change)
Dammit we're doing it outside
Its too cold so its dry
Shes complaining cus its cold
So i say bitchh its on with the show i cod give a fuck about the snow
I get between her hip, i slob on her knob
This is battle field 3 and the Apache is exploding
Ya know i was locked on target, you thought i would've forgotten, What the song was about

And that's beef
No i don't like minis
Give me a foot long
I'm not gay but occasionally ill look at men
Oh wait i forgot its not gay if its 3
That took a weird twist now you're probably judging me
I'm mildly triggered, i put my finger on the trigger
Pull that shit back then rub you're feelings on sand paper
Fuck being triggered grow some thick skin
And grow up before you're life really begins
Look back to beef jerkey teriyaki is pretty good
Black pepper pretty good too not gonna lie
Dude you've got to get mild Slim Jims1Embed",Big Red,Big Red,Big Red
9Jared,Bimbo,"3 ContributorsBimbo Lyrics[Refrain] x2
Tu vends tes seins et tes fesses
Tu te crois utile
Aussi belle que débile
Tu ferais tout pour le flouze
J'éprouve de de la tristesse
Pour ces pauvres filles
Qui d'un rien s'habillent
Sont toujours prêtes pour une touze
[Couplet 1]
Faudrait qu'on te prenne pour une dame et pas pour une gonzesse
Le drame c'est que t'es dépourvue de toute noblesse
C'est madame que l'on t'appelle au royaume des bassesses
Sans être trop méchant il faut que mes mots te blessent
On me dit Red t'es pas galant avec les chiennes sans laisse
Mais si t'es pas revenue ???? des plumes t'y laisse
Y'en des personnes à qui t'apprend et d'autres que tu dresses
Tu trouve mon style navrant parce qu'il dévoile tes faiblesses
Mais quand t'es à genoux, c'est pas pour la confesse
Envie de tirer un coup, dans la fente je mets la pièce
Fais la sainte niche-tou mais ton vice je le perce
Allez vas-y ge-bou j'ai pas besoin que l'on me berce

[Refrain] x2
Tu vends tes seins et tes fesses
Tu te crois utile
Aussi belle que débile
Tu ferais tout pour le flouze
J'éprouve de de la tristesse
Pour ces pauvres filles
Qui d'un rien s'habillent
Sont toujours prêtes pour une touze
You might also like[Couplet 2]
Faux cheveux, faux ongles et faux yeux
Fausse mentalité, faux seins, faux tout ce que tu veux
Tu fais la naïve mais ton crâne est loin d'être creux
Dès qu'un pigeon arrive faut le plumer t'en as fait le vœu
C'est pas avec une grosse pute que l'on devient raisonnable
C'est pas à toi que je parle mais à ton cul, il est bien plus aimable
Le temps des loves est révolu, le bifton trop maniable
Une de tes grandes qualités, être sexuellement sociable
Tout ce que l'on te propose tu t'en sens capable
Tant qu'un mec t'arrose y'a rien qui t'accable
Tu vois la vie en rose quand t'es grimpée sur la table
Petit chaperon rouge baise le loup et retourne la fable

[Refrain] x2
Tu vends tes seins et tes fesses
Tu te crois utile
Aussi belle que débile
Tu ferais tout pour le flouze
J'éprouve de de la tristesse
Pour ces pauvres filles
Qui d'un rien s'habillent
Sont toujours prêtes pour une touzeEmbed",Big Red,Big Red,Big Red
9Jared,Cauchemards,"1 ContributorCauchemards Lyrics[Couplet 1]
(Dans mes cauchemars)
Je t'ouvre le ventre, te vide par terre
Le bras dans les entrailles je t'éviscère
(Dans mes cauchemars)
J't'arrache les dents et les ongles
Sourire aux lèvres je te regarde fondre
(Dans mes cauchemars)
J'te fais cuire pour te bouffer
Juste pour le plaisir de te chier
(Dans mes cauchemars)
Les Indiens sortent de leur tombe
Et plongent les steppes dans la pénombre
(Dans mes cauchemars)
Bush s'balance au bout d'une corde
J'entame la danse de la discorde
(Dans mes cauchemars)
L'heure n'est plus à la rédemption
Mais à la vengeance, faut de l'action
(Dans mes cauchemars)
Le cercle de feu se referme
Prends-moi au sérieux ça te concerne
(Dans mes cauchemars)
Le cercle de feu se referme
Prends-moi au sérieux ça te concerne
You might also like[Refrain (*2)]
(Dans mes cauchemars)
C'est la nuit en plein jour tu sais
Y a des cris, des pleurs everyday
L'enfer avant l'heure, on y est
OK

[Couplet 2]
(Dans mes cauchemars)
Tous les jours ça part en couilles
Il pleut des douilles
(Dans mes cauchemars)
Je commande une armée fantôme
N'épargnant personne à part les mômes
(Dans mes cauchemars)
C'est l'enfer avant l'heure
Mon père ma douleur, le sang que je pleure
(Dans mes cauchemars)
Moi l'exclu du triangle
Pénètre ta chambre, ris et t'étrangle
(Dans mes cauchemars)
J'te mets un Kärcher dans l'cul
Dans une cave pourrie d'un quartier qui pue
(Dans mes cauchemars)
Vois grand vois rouge
Si t'es dedans, faut qu'tu bouges
(Dans mes cauchemars)
C'est Fuck the World et j'encule tout
Les règles ont changé, un point c'est tout
(Dans mes cauchemars)
Big Red nique tout
[Refrain (*2)]
(Dans mes cauchemars)
C'est la nuit en plein jour tu sais
Y a des cris, des pleurs everyday
L'enfer avant l'heure, on y est
OK

[Pont]
Dans mes cauchemars, ça pue la merde
Y a des chiens, des hyènes à tous les coins d'rue no man
Bad dream, sweet dream

[Couplet 3]
V.I.O.L.E.N.C.E
Plus facile que le L.O.V.E
EJM dit ""élément dangereux""
Comment? Demande à mon neveu
F.U.C.K. Y.O.U
Ça sent l'émeute chez toi t'as vu
N'appelle pas le poste, y en a plus
Y a pas de fumée sans feu
Atmos-atmos-atmosphère
Dégage de mon atmosphère
Ça pue, ça tue dans ma sphère
Rentre pas dans le nightmare
Arctique gothique psy-psychotique
Mauvais profil psychologique
Dans mes cauchemars, tout y est logique
Cyc-cyclique
[Refrain (*2)]
(Dans mes cauchemars)
C'est la nuit en plein jour tu sais
Y a des cris, des pleurs everyday
L'enfer avant l'heure, on y est
OKEmbed",Big Red,Big Red,Big Red
9Jared,Chanel ft young black,"1 ContributorChanel ft young black Lyrics[intro: big red]
Chanel Chanel Chanel  Chanel  Chanel  Chanel
[verse 1: big red]
She like the way I smell, yo bitch straight outta hell
My dog fresh outta jail, yo bitch built like a whale
Chanel Chanel
[chourus 2: young black]
Chanel Chanel Chanel Chanel Chanel
[verse 2: young black]
She likes to fuck with the crew, I don’t know what to do
I just hopped into my coupe, shoot at you, askin you where the fucking stash
Keep playin wit me, you gon end up in the fad aye check it out
I pull up on you and turn you into banana split
Fuckin yo bitch, she thought this, this was fuckin rainbows
Pussy ass nigga always talkin, they get hit with tha dracos
Hit my pull up he be trapin his name is Pedro
[verse 2: big red]
Chanel, aye aye aye Chanel
She wanna fuck oh, well neva gonna fold neva gonna tell
Quick wit  nevah gon cuff her I can sit there and hop eyes
She always wanna despise, a young nigga on tha rise
Bih she try top recognize I ain’t surprised
[verse 3: young black]
Aye like my nigga said better recognized you stupid hoes
You don’t wanna reply all these nigga ride
Hit em up with tha 49, put you on like that aye
Chanel all in tha bell all my Lil niggas going straight to hell
Yeah we caught some bodies, bitch
But you better not tell
Imma murk you, pus nigga get well, these nigga wan fail
Oh my fucking god, niggas came to tell, run em like a jail aye
[chourus: young black]
Chanel Chanel Chanel ChanelYou might also likeEmbed",Big Red,Big Red,Big Red
9Jared,Cynique,"2 ContributorsCynique Lyrics[Couplet 1]
Le tout c'est d'avoir des idées
Et de ne pas se les faire prendre
Tout est noté sur un dossier
Tout est à louer ou à vendre
On essaie de se démarquer
S'éloigner de tout ce méandre
Tu sais la chose est reniée
Plus accepter, pas un tendre
Est-ce que c'est mort ou j'abandonne
On me met des bâtons mais je m'en tamponne
Si de la tête au pied tu frissonnes
C'est qu'à ton idée il faut que tu te cramponnes
Lève la tête, sois fier
Garde un œil derrière, la vie il faut que tu la serres
A ta place ne laisse personne faire

[Refrain] x2
A la minute où quelqu'un montre son enthousiasme, les cyniques s'agitent
Ça joue de la flûte et fantasme sur une répute en granit
[Couplet 2]
Ton avenir ça te concerne
Ça ne regarde que toi
Y'a pas moyen que l'on te cerne
Quand tu ne le décides pas
S'il te plaît écoute ça
Le tout c'est d'y croire
En l'impalpable, l'intouchable
Il n'est pas nécessaire de voir
Pour trouver un chemin praticable
You might also like[Refrain]
A la minute où quelqu'un montre son enthousiasme, les cyniques s'agitent
Ça joue de la flûte et fantasme sur une répute en granit
[Outro] x2
Demande moi de baisser mon froc
Et puis je t'envoie direct à l'abattoir
Là-bas on te braque même pour du toc
T'as qu'à demander doudou de ma part
Could you heard ?Embed",Big Red,Big Red,Big Red
9Jared,Dangerous,"1 ContributorDangerous Lyrics[Intro: Anthony B]
Big Red, Anthony B
Dangerous
Do watch our size, we are
We are
Dangerous
XXX do watch our size, we are
We are
Dangerous

[Couplet 1: Anthony B]
I know we are from different mothers
Don’t understand each other
I know our colour is not the same
The same, the same, the same
Learn at different culture
And at different paper
But its blood run to our vein, our vein
So I tell you Sir

[Refrain : Big Red & Anthony B (*2)]
Ne déverse plus ta haine
Ce sont les mômes qui prennent
Ce sont les mères qui peinent
No more war
Dangerous
No more war
You might also like[Couplet 2: Big Red & Anthony B]
Radical, Redical, partout y a des conflits oh non
Qui peut dire où est-ce que nous finiront
No more war
No, no no no
No more war
Bestial, immoral, tout sauf religieux again
Pour le duel des dieux, on retrouve les mêmes
No more war
No, no no no more
No more war
They drop bombs on humanity
Ils élargissent leur territoire, défendent la patrie, Lord
Still I got no fear for atomic energy
Ils font l’argent, ils créent les lois, ils contrôlent ta vie

[Pont : Anthony B]
War is not the answer
No more war
No more war

[Refrain : Big Red & Anthony B (*2)]
Ne déverse plus ta haine
Ce sont les mômes qui prennent
Ce sont les mères qui peinent
No more war
Dangerous
No more war
[Couplet 3: Big Red & Anthony B]
Anthony B, Daddy Big Red
Tout l’temps en mission, prennent le microphone pour les innocents dead
Yaka yaka yaka yo
Plus t’as compris moins t’as saisi
Dis-moi que peux tu faire, te tenir en mode survie face aux fusils
Yaka yaka yaka yo
Fallait que tout l’monde raisonne
One love we need to spawn, Sir
Fallait que tout l’monde donne
Que les gens pensent
Ou bien nous questionnent
S’interrogent sur la personne qui nous conduit

[Pont : Anthony B]
War is not the answer
No more war
Dangerous
No more war

[Outro: Big Red & Anthony B]
Do watch our size, we are
We are
Dangerous
XXX watch our size, we are
Big Red, Anthony B, yeah/i>
Même si le globe est rouge sang
Que l’espoir part au vent
Dangerous/i>
C’est fier, en vie, tranchant
Que la vraie nature revienne, j’attends
Do all that we livin’ in today yo/i>Embed",Big Red,Big Red,Big Red
